Date,Close,Search_Interest,Return_1d,Close_lag_1,Close_lag_3,Close_lag_5,MA_5,MA_10,Trend_lag_1,Trend_lag_3
2025-04-10,252.3999938964844,73.0,-0.07274069589492616,272.20001220703125,233.2899932861328,267.2799987792969,243.8359985351563,256.03899841308595,73.0,73.0
2025-04-11,252.30999755859372,73.0,-0.0003565623615965352,252.3999938964844,221.8600006103516,239.42999267578125,246.41199951171876,254.91499938964844,73.0,73.0
2025-04-14,252.3500061035156,31.0,0.00015856900364230597,252.30999755859372,272.20001220703125,233.2899932861328,250.2240020751953,254.23399963378907,73.0,73.0
2025-04-15,254.1100006103516,31.0,0.006974418324816822,252.3500061035156,252.3999938964844,221.8600006103516,256.6740020751953,252.79900054931642,31.0,73.0
2025-04-16,241.5500030517578,31.0,-0.049427403598542696,254.1100006103516,252.30999755859372,272.20001220703125,250.54400024414062,248.6779998779297,31.0,73.0
2025-04-17,241.3699951171875,31.0,-0.0007452201709629014,241.5500030517578,252.3500061035156,252.3999938964844,248.33800048828124,246.08699951171874,31.0,31.0
2025-04-21,227.5,46.0,-0.05746362595919796,241.3699951171875,254.1100006103516,252.30999755859372,243.3760009765625,244.8940002441406,31.0,31.0
2025-04-22,237.97000122070312,46.0,0.04602198338770602,227.5,241.5500030517578,252.3500061035156,240.5,245.36200103759765,46.0,31.0
2025-04-23,250.7400054931641,46.0,0.05366224400956132,237.97000122070312,241.3699951171875,254.1100006103516,239.8260009765625,248.2500015258789,46.0,31.0
2025-04-24,259.510009765625,46.0,0.0349764859229853,250.7400054931641,227.5,241.5500030517578,243.41800231933593,246.9810012817383,46.0,46.0
2025-04-25,284.95001220703125,46.0,0.09803091011549903,259.510009765625,237.97000122070312,241.3699951171875,252.13400573730468,250.23600311279296,46.0,46.0
2025-04-28,285.8800048828125,30.0,0.0032637046356942534,284.95001220703125,250.7400054931641,227.5,263.8100067138672,253.59300384521484,46.0,46.0
2025-04-29,292.0299987792969,30.0,0.021512501019458785,285.8800048828125,259.510009765625,237.97000122070312,274.62200622558595,257.56100311279295,30.0,46.0
2025-04-30,282.1600036621094,30.0,-0.03379788089732105,292.0299987792969,284.95001220703125,250.7400054931641,280.906005859375,260.3660034179687,30.0,46.0
2025-05-01,280.5199890136719,30.0,-0.005812356915055328,282.1600036621094,285.8800048828125,259.510009765625,285.1080017089844,264.2630020141602,30.0,30.0
2025-05-02,287.2099914550781,30.0,0.023848576584252656,280.5199890136719,292.0299987792969,284.95001220703125,285.55999755859375,268.84700164794924,30.0,30.0
2025-05-05,280.260009765625,24.0,-0.024198258752220814,287.2099914550781,282.1600036621094,285.8800048828125,284.4359985351563,274.12300262451174,30.0,30.0
2025-05-06,275.3500061035156,24.0,-0.017519458684867262,280.260009765625,280.5199890136719,292.0299987792969,281.1,277.86100311279296,24.0,30.0
2025-05-07,276.2200012207031,24.0,0.003159597232260225,275.3500061035156,287.2099914550781,282.1600036621094,279.91199951171876,280.40900268554685,24.0,30.0
2025-05-08,284.82000732421875,24.0,0.031134624811778533,276.2200012207031,280.260009765625,280.5199890136719,280.7720031738281,282.94000244140625,24.0,24.0
2025-05-09,298.260009765625,24.0,0.04718770485146129,284.82000732421875,275.3500061035156,287.2099914550781,282.9820068359375,284.2710021972656,24.0,24.0
2025-05-12,318.3800048828125,27.0,0.06745790403815088,298.260009765625,276.2200012207031,280.260009765625,290.606005859375,287.5210021972656,24.0,24.0
2025-05-13,334.07000732421875,27.0,0.049280740626853614,318.3800048828125,284.82000732421875,275.3500061035156,302.3500061035156,291.7250030517578,27.0,24.0
2025-05-14,347.67999267578125,27.0,0.04073991993646375,334.07000732421875,298.260009765625,276.2200012207031,316.6420043945312,298.277001953125,27.0,24.0
2025-05-15,342.82000732421875,27.0,-0.013978329078298546,347.67999267578125,318.3800048828125,284.82000732421875,328.24200439453125,304.5070037841797,27.0,27.0
2025-05-16,349.9800109863281,27.0,0.0208856061756566,342.82000732421875,334.07000732421875,298.260009765625,338.58600463867185,310.7840057373047,27.0,27.0
2025-05-19,342.0899963378906,22.0,-0.022544186527114873,349.9800109863281,347.67999267578125,318.3800048828125,343.3280029296875,316.9670043945313,27.0,27.0
2025-05-20,343.82000732421875,22.0,0.005057180873010214,342.0899963378906,342.82000732421875,334.07000732421875,345.2780029296875,323.8140045166016,22.0,27.0
2025-05-21,334.6199951171875,22.0,-0.026758222357769146,343.82000732421875,349.9800109863281,347.67999267578125,342.66600341796874,329.65400390625,22.0,27.0
2025-05-22,341.0400085449219,22.0,0.019185982671137136,334.6199951171875,342.0899963378906,342.82000732421875,342.31000366210935,335.2760040283203,22.0,22.0
2025-05-23,339.3399963378906,22.0,-0.004984788190348977,341.0400085449219,343.82000732421875,349.9800109863281,340.1820007324219,339.3840026855469,22.0,22.0
2025-05-27,362.8900146484375,20.0,0.06939947711644767,339.3399963378906,334.6199951171875,342.0899963378906,344.3420043945313,343.8350036621094,22.0,22.0
